Sensor,Location,Value1,Value2,Value3,Reading_Time
Sensor,My Room,23.00,66.00,1,2023-01-22 03:58:54
Sensor,My Room,23.00,66.00,1,2023-01-22 03:59:01
Sensor,My Room,23.00,66.00,1,2023-01-22 03:59:07
Sensor,My Room,23.00,66.00,1,2023-01-22 03:59:13
Sensor,My Room,23.00,66.00,1,2023-01-22 03:59:19
Sensor,My Room,23.00,66.00,1,2023-01-22 03:59:25
Sensor,My Room,23.00,66.00,1,2023-01-22 03:59:31
Sensor,My Room,23.00,66.00,1,2023-01-22 04:01:45
Sensor,My Room,23.00,66.00,1,2023-01-22 04:01:51
Sensor,My Room,23.00,66.00,1,2023-01-22 04:01:57
Sensor,My Room,23.00,66.00,1,2023-01-22 04:02:19
Sensor,My Room,23.00,66.00,1,2023-01-22 04:02:55
Sensor,My Room,23.00,66.00,1,2023-01-22 04:03:01
Sensor,My Room,23.00,66.00,1,2023-01-22 04:03:07
Sensor,My Room,23.00,66.00,1,2023-01-22 04:03:13
Sensor,My Room,23.00,66.00,1,2023-01-22 04:03:29
Sensor,My Room,23.00,66.00,1,2023-01-22 04:03:35
Sensor,My Room,23.00,66.00,1,2023-01-22 04:03:42
Sensor,My Room,23.00,66.00,1,2023-01-22 04:03:48
Sensor,My Room,23.00,66.00,1,2023-01-22 04:03:54
Sensor,My Room,23.00,66.00,1,2023-01-22 04:04:00
Sensor,My Room,23.00,66.00,1,2023-01-22 04:04:06
Sensor,My Room,23.00,66.00,1,2023-01-22 04:04:12
Sensor,My Room,23.00,66.00,1,2023-01-22 04:04:18
Sensor,My Room,23.00,66.00,1,2023-01-22 04:04:24
Sensor,My Room,23.00,66.00,1,2023-01-22 04:04:30
Sensor,My Room,23.00,66.00,1,2023-01-22 04:04:36
Sensor,My Room,23.00,66.00,1,2023-01-22 04:04:42
Sensor,My Room,23.00,66.00,1,2023-01-22 04:04:48
Sensor,My Room,23.00,66.00,1,2023-01-22 04:04:54
Sensor,My Room,23.00,66.00,1,2023-01-22 04:05:01
Sensor,My Room,23.00,66.00,1,2023-01-22 04:05:07
Sensor,My Room,23.00,66.00,1,2023-01-22 04:05:13
Sensor,My Room,23.00,66.00,1,2023-01-22 04:05:19
Sensor,My Room,23.00,66.00,1,2023-01-22 04:05:25
Sensor,My Room,23.00,66.00,1,2023-01-22 04:05:31
Sensor,My Room,23.00,66.00,1,2023-01-22 04:05:37
Sensor,My Room,23.00,66.00,1,2023-01-22 04:05:43
Sensor,My Room,23.00,66.00,1,2023-01-22 04:05:49
Sensor,My Room,23.00,66.00,1,2023-01-22 04:05:55
Sensor,My Room,23.00,66.00,1,2023-01-22 04:06:01
Sensor,My Room,23.00,66.00,1,2023-01-22 04:06:08
Sensor,My Room,23.00,66.00,1,2023-01-22 04:06:14
Sensor,My Room,23.00,66.00,1,2023-01-22 04:06:20
Sensor,My Room,23.00,66.00,1,2023-01-22 04:06:26
Sensor,My Room,23.00,66.00,1,2023-01-22 04:06:32
Sensor,My Room,23.00,66.00,1,2023-01-22 04:06:38
Sensor,My Room,23.00,66.00,1,2023-01-22 04:06:44
Sensor,My Room,23.00,66.00,1,2023-01-22 04:06:50
Sensor,My Room,23.00,66.00,1,2023-01-22 04:06:56
Sensor,My Room,23.00,66.00,1,2023-01-22 04:07:02
Sensor,My Room,23.00,66.00,1,2023-01-22 04:07:08
Sensor,My Room,23.00,66.00,1,2023-01-22 04:07:46
Sensor,My Room,23.00,66.00,1,2023-01-22 04:07:52
Sensor,My Room,23.00,66.00,1,2023-01-22 04:07:59
Sensor,My Room,23.00,66.00,1,2023-01-22 04:08:16
Sensor,My Room,23.00,66.00,1,2023-01-22 04:08:23
Sensor,My Room,23.00,66.00,1,2023-01-22 04:08:29
Sensor,My Room,23.00,66.00,1,2023-01-22 04:08:35
Sensor,My Room,23.00,66.00,1,2023-01-22 04:08:41
Sensor,My Room,23.00,66.00,1,2023-01-22 04:08:47
Sensor,My Room,23.00,66.00,1,2023-01-22 04:08:53
Sensor,My Room,23.00,66.00,1,2023-01-22 04:08:59
Sensor,My Room,23.00,66.00,1,2023-01-22 04:09:05
Sensor,My Room,23.00,66.00,1,2023-01-22 04:09:11
Sensor,My Room,23.00,66.00,1,2023-01-22 04:09:17
Sensor,My Room,23.00,66.00,1,2023-01-22 04:09:24
Sensor,My Room,23.00,66.00,1,2023-01-22 04:09:30
Sensor,My Room,23.00,66.00,1,2023-01-22 04:09:36
Sensor,My Room,23.00,66.00,1,2023-01-22 04:09:42
Sensor,My Room,23.00,66.00,1,2023-01-22 04:09:48
Sensor,My Room,23.00,66.00,1,2023-01-22 04:09:54
Sensor,My Room,23.00,66.00,1,2023-01-22 04:10:00
Sensor,My Room,23.00,66.00,1,2023-01-22 04:10:06
Sensor,My Room,23.00,66.00,1,2023-01-22 04:10:12
Sensor,My Room,23.00,66.00,1,2023-01-22 04:10:18
Sensor,My Room,23.00,66.00,1,2023-01-22 04:10:25
Sensor,My Room,23.00,66.00,1,2023-01-22 04:10:31
Sensor,My Room,23.00,66.00,1,2023-01-22 04:10:37
Sensor,My Room,23.00,66.00,1,2023-01-22 04:10:43
Sensor,My Room,23.00,66.00,1,2023-01-22 04:10:49
Sensor,My Room,23.00,66.00,1,2023-01-22 04:10:55
Sensor,My Room,23.00,66.00,1,2023-01-22 04:11:01
Sensor,My Room,23.00,66.00,1,2023-01-22 04:11:07
Sensor,My Room,23.00,66.00,1,2023-01-22 04:11:13
Sensor,My Room,23.00,66.00,1,2023-01-22 04:11:19
Sensor,My Room,23.00,66.00,1,2023-01-22 04:11:25
Sensor,My Room,23.00,66.00,1,2023-01-22 04:11:32
Sensor,My Room,23.00,66.00,1,2023-01-22 04:11:38
Sensor,My Room,23.00,66.00,1,2023-01-22 04:11:44
Sensor,My Room,23.00,66.00,1,2023-01-22 04:11:50
Sensor,My Room,23.00,66.00,1,2023-01-22 04:11:56
Sensor,My Room,23.00,66.00,1,2023-01-22 04:12:02
Sensor,My Room,23.00,77.00,1,2023-01-27 20:28:18
Sensor,My Room,23.00,77.00,1,2023-01-27 20:28:24
Sensor,My Room,23.00,77.00,1,2023-01-27 20:28:30
Sensor,My Room,23.00,77.00,1,2023-01-27 20:28:37
Sensor,My Room,23.40,76.00,1,2023-01-27 20:29:12
Sensor,My Room,23.40,76.00,1,2023-01-27 20:29:18
Sensor,My Room,23.40,76.00,1,2023-01-27 20:29:24
Sensor,My Room,23.40,76.00,1,2023-01-27 20:29:31
Sensor,My Room,23.40,76.00,1,2023-01-27 20:29:37
Sensor,My Room,23.80,74.00,1,2023-01-27 20:31:39
Sensor,My Room,23.80,74.00,1,2023-01-27 20:31:46
Sensor,My Room,23.80,74.00,1,2023-01-27 20:31:52
Sensor,My Room,23.80,74.00,1,2023-01-27 20:31:58
Sensor,My Room,23.80,73.00,1,2023-01-27 20:50:11
Sensor,My Room,23.80,73.00,1,2023-01-27 20:50:18
Sensor,My Room,23.80,73.00,1,2023-01-27 20:50:24
Sensor,My Room,23.80,73.00,1,2023-01-27 20:50:30
Sensor,My Room,23.80,73.00,1,2023-01-27 20:50:36
Sensor,My Room,23.80,73.00,1,2023-01-27 20:50:43
Sensor,My Room,23.80,73.00,1,2023-01-27 20:50:51
Sensor,My Room,23.80,73.00,1,2023-01-27 20:50:58
Sensor,My Room,23.80,73.00,1,2023-01-27 20:51:04
Sensor,My Room,23.80,73.00,1,2023-01-27 20:51:12
Sensor,My Room,23.80,73.00,1,2023-01-27 20:51:19
Sensor,My Room,23.80,73.00,1,2023-01-27 20:51:26
Sensor,My Room,23.80,73.00,1,2023-01-27 20:51:34
Sensor,My Room,23.80,73.00,1,2023-01-27 20:51:41
Sensor,My Room,23.80,73.00,1,2023-01-27 20:51:48
Sensor,My Room,23.80,73.00,1,2023-01-27 20:51:56
Sensor,My Room,23.80,73.00,1,2023-01-27 20:52:02
Sensor,My Room,23.80,73.00,1,2023-01-27 20:52:08
Sensor,My Room,23.80,73.00,1,2023-01-27 20:52:14
Sensor,My Room,23.80,73.00,1,2023-01-27 20:52:21
Sensor,My Room,23.80,73.00,1,2023-01-27 20:52:29
Sensor,My Room,23.80,73.00,1,2023-01-27 20:52:36
Sensor,My Room,23.80,73.00,1,2023-01-27 20:52:42
Sensor,My Room,23.80,73.00,1,2023-01-27 20:52:48
Sensor,My Room,23.40,76.00,1,2023-01-27 21:32:17
Sensor,My Room,23.40,76.00,1,2023-01-27 21:32:23
Sensor,My Room,23.40,76.00,1,2023-01-27 21:32:29
Sensor,My Room,23.40,76.00,1,2023-01-27 21:32:36
Sensor,My Room,23.40,76.00,1,2023-01-27 21:32:42
Sensor,My Room,23.40,76.00,1,2023-01-27 21:32:49
Sensor,My Room,23.40,76.00,1,2023-01-27 21:32:55
Sensor,My Room,23.40,76.00,1,2023-01-27 21:33:01
Sensor,My Room,23.40,76.00,1,2023-01-27 21:33:08
Sensor,My Room,23.40,76.00,1,2023-01-27 21:33:14
Sensor,My Room,23.40,76.00,1,2023-01-27 21:33:20
Sensor,My Room,23.40,76.00,1,2023-01-27 21:33:27
